source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,l,b,teff_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,r_med_geo,r_med_photogeo
4097814072191723136,275.20411626816013,3.5407984,-16.21760638126456,3.4789433,,,,,20.697239,1.5153236,-1.2996578,2.8149815,,NOT_AVAILABLE,15.058463018307737,-0.7740148999374857,,,,,,,
4097814037831995520,275.21264722944017,0.77551216,-16.217667391748677,0.73226297,2.0298433022235,0.73659456,1.540227971642869,0.04171313358695472,19.92914,2.03327,0.84957886,1.183691,,NOT_AVAILABLE,15.062267547414809,-0.7812697287291642,,,,,,1298.4996,4862.964
4097814042127754240,275.2133647540667,2.0403347,-16.214905232309974,1.90308,,,,,20.66763,1.0700188,-1.1498489,2.2198677,,NOT_AVAILABLE,15.065028938672848,-0.7805766562636058,,,,,,,
4097814042135058688,275.21462945577275,0.1474336,-16.217794565316137,0.1322225,0.9591281149092947,0.16162857,2.221688823481357,-5.514895017513344,18.025383,1.7741299,0.695776,1.0783539,,NOT_AVAILABLE,15.063051822827939,-0.7830086750110361,3774.206,589.386,0.0059,0.0042,0.0023,1111.0168,1316.3431
4097814072191713920,275.19724384226004,0.2207483,-16.21396747610852,0.19532253,0.2615293854576815,0.22520679,-0.095429626633588,-2.241146442824988,18.356497,2.7969742,1.2369175,1.5600567,,NOT_AVAILABLE,15.058564813000409,-0.7664797610796479,,,,,,4512.112,3426.4277
4097814072191715840,275.1986966029118,0.10697842,-16.212660143708888,0.0968334,0.6312147293681044,0.12507564,2.8294844332308786,-1.954384753367612,17.240887,1.5040073,0.63721466,0.8667927,,NOT_AVAILABLE,15.060375267729283,-0.7670945255270812,4406.1104,1414.1603,0.1827,0.1389,0.0737,1718.3595,1658.5154
4097814072191719552,275.2016329408283,0.57250506,-16.214665816190912,0.56466085,0.5828160781729999,0.7257764,0.14664511467536712,-0.327550377773091,19.449192,1.9702682,0.30150986,1.6687584,,NOT_AVAILABLE,15.059934010841456,-0.7705264228457465,,,,,,3942.141,3320.6938
4097814072191721472,275.20276431825226,1.8367223,-16.215856420044737,1.9659669,,,,,20.327427,1.9331245,-0.8297138,2.7628384,,NOT_AVAILABLE,15.05939537578759,-0.7720455223207708,,,,,,,
4097814076481093760,275.19867179265,1.6731178,-16.218189772678713,1.8891754,,,,,20.235739,,,,,NOT_AVAILABLE,15.05548578870006,-0.7696780615479414,,,,,,,
4097814076481095552,275.19771748555917,0.38590068,-16.217768279478047,0.3500714,0.5882543253611845,0.41639107,2.3965981000092924,2.1102234921286978,19.08479,2.1435776,1.2018147,0.9417629,,NOT_AVAILABLE,15.055425982727373,-0.7686712131009583,,,,,,3300.7732,2994.6672
4097814076481105920,275.1882655111751,0.5109415,-16.21969434461554,0.48477244,-0.8165429908084565,0.50755745,1.97413973647774,-0.5982876324836074,19.50445,2.0094624,1.4123173,0.5971451,,NOT_AVAILABLE,15.049451370704212,-0.7615725929952664,,,,,,4018.176,4461.8784
4097814076483541120,275.2030690051134,7.374741,-16.221204462287883,7.222609,,,,,20.68939,1.7885723,-0.37573814,2.1643105,,NOT_AVAILABLE,15.054815065950473,-0.7748225229393051,,,,,,,
4097814076484071936,275.19601865192806,1.7887213,-16.21906928861403,1.8293687,,,,,20.251572,1.6595287,1.171915,0.48761368,,NOT_AVAILABLE,15.05350981642564,-0.767845082164901,,,,,,,
4097814076494800000,275.20504216468146,0.22718367,-16.219949812616218,0.20064835,-0.24491716460342053,0.23879148,-0.5467624765112616,-1.9018056331231055,18.195076,1.3020401,-0.083452225,1.3854923,,NOT_AVAILABLE,15.056814373157932,-0.7759028996735946,3576.0503,6448.5747,9.961,5.4563,3.7448,6388.131,4721.1484
4097814076494802176,275.20079289883273,0.025501492,-16.220009631015568,0.022613702,0.80541574977381,0.027414864,-10.043237458708454,-2.1727751034325564,14.4740305,1.3215494,0.60504436,0.71650505,-17.527655,NOT_AVAILABLE,15.054839689406384,-0.772331853476037,5007.453,1168.4022,0.6623,0.5201,0.2767,1181.6343,1184.9243
4097814076494802688,275.2011682535831,0.18876587,-16.21820108472773,0.16313477,0.5295281804808415,0.19512309,1.1768810759595076,-0.5191810099117884,18.178122,1.6404285,0.5950451,1.0453835,,NOT_AVAILABLE,15.056604980044415,-0.7717979489564112,3672.628,634.901,0.2757,0.193,0.108,2243.4736,2610.8198
4097814076494881792,275.193227719822,0.13176349,-16.217248254734713,0.11738933,0.8326129757289581,0.14641826,-23.637856478963023,-9.543044952024786,17.753284,1.5778942,0.49032593,1.0875683,,NOT_AVAILABLE,15.053853900147493,-0.7646233617961476,,,,,,1297.8424,1477.6195
4097814106551459072,275.2023035787403,0.46868098,-16.207271661745416,0.43599933,0.3746343222327763,0.45973912,0.008648519554734141,-2.6291096072267157,19.22331,2.6578674,1.2011452,1.4567223,,NOT_AVAILABLE,15.066760552202224,-0.7676118129755292,,,,,,3180.3013,3650.914
4097814106551459200,275.20235230865245,7.734148,-16.20464489011666,6.7515507,,,,,20.978699,,,2.7434673,,NOT_AVAILABLE,15.069099959035421,-0.7664158718295697,,,,,,,
4097814106551459456,275.20245062141464,0.3006495,-16.20986866849293,0.25919542,0.5966902893008672,0.29997528,-0.11380200851593375,-0.2961976282009851,18.727432,1.9904251,0.64001083,1.3504143,,NOT_AVAILABLE,15.064535955242388,-0.7689595663136654,,,,,,2418.4475,2688.846
4097814106551460736,275.20353649629874,0.45358616,-16.202585186675773,0.42548233,0.619311284937368,0.3514909,0.24831777954256518,0.2052095994825548,19.094366,,,0.12468338,,NOT_AVAILABLE,15.071452698666931,-0.7664488625150752,,,,,,6315.123,
4097814106551462144,275.20480896215315,0.8524994,-16.207309533542137,0.7429752,0.1154055042276919,0.79495066,-2.0031852019383125,-2.3658529391044554,19.847145,2.3871803,0.56142616,1.8257542,,NOT_AVAILABLE,15.06786037798277,-0.7697519019022795,,,,,,3796.761,3951.2725
4097814106551464704,275.2066165173449,0.51235217,-16.206555933502017,0.46425298,0.5854899859974354,0.50029254,-0.5376578119571017,-2.3972832359432963,19.318274,2.2463646,1.5798912,0.6664734,,NOT_AVAILABLE,15.069342798805224,-0.7709281129414796,,,,,,3604.04,2925.6045
4097814106551466752,275.20843072101366,0.12156114,-16.207778532392496,0.10591397,0.6338536513690175,0.12355754,0.985077124090568,-2.859415494488008,17.569702,1.6559086,0.9932747,0.6626339,,NOT_AVAILABLE,15.069084767870775,-0.7730407203346917,4136.254,964.057,0.0121,0.0088,0.0048,1767.4279,1563.4128
4097814106551469184,275.21039574368046,1.8824764,-16.210732735820386,1.8777833,,,,,20.1622,,,1.5127411,,NOT_AVAILABLE,15.067367252393158,-0.7760966044839875,,,,,,,
4097814106551472128,275.2124509251575,4.454695,-16.206686498450043,5.0688167,,,,,20.73279,1.1021271,-0.47701836,1.5791454,,NOT_AVAILABLE,15.071866506034993,-0.7759318867839179,,,,,,,
4097814110840832640,275.2065810330102,1.4315331,-16.210596677887306,1.2257749,,,,,20.306753,1.217535,-1.603096,2.820631,,NOT_AVAILABLE,15.065761919051035,-0.7728011861840843,,,,,,,
4097814110843278976,275.21777251341445,1.0017256,-16.208351639919787,0.98434085,-1.5750385286733994,0.87225324,-2.4902938333552664,-3.6768093142501908,20.068516,,,,,NOT_AVAILABLE,15.072804268044088,-0.7812240043656251,,,,,,5263.8433,
4097814110849304192,275.2060418665738,7.489117,-16.204257600542718,7.0374928,,,,,21.136276,,,,,NOT_AVAILABLE,15.071110510963646,-0.769358846814638,,,,,,,
4097814110854541312,275.2102558150613,0.03691298,-16.209707667755453,0.03186214,0.6494960454303187,0.03800772,-0.6825371760305855,-1.927873434482779,15.490384,1.1047344,0.4793644,0.62537,,NOT_AVAILABLE,15.068208310775752,-0.775495298296571,6867.1685,1592.8055,1.3557,1.1393,0.6139,1465.6444,1443.9807
4097814110854541952,275.21115735762976,0.061064646,-16.206265512760943,0.054070532,1.2869713531044968,0.065456234,-0.8966333820633475,-5.756008834886584,14.885062,1.1183605,0.47713757,0.64122295,-29.6057,NOT_AVAILABLE,15.071652845808622,-0.7746378397040812,5518.379,573.6138,0.6368,0.5178,0.2793,760.4126,765.3454
4097814110858276224,275.2181385362655,0.1252971,-16.20881912519673,0.11441249,0.1273933050385679,0.14399996,-1.0126910297682947,-2.2220167311022845,17.004684,,,1.4247665,,NOT_AVAILABLE,15.072557367578796,-0.7817542194602739,4180.7705,1376.1617,9.6762,5.8869,3.4344,4915.527,
4097814175270899072,275.17265465768986,0.2680375,-16.21296354471586,0.24224268,0.7961033800342011,0.31646892,-1.7994230937447513,-3.8287364573825844,18.614737,1.6275826,-0.48225403,2.1098366,,NOT_AVAILABLE,15.048326813743355,-0.7451795387445541,,,,,,2232.4138,2913.055
4097814175270910080,275.18151228815555,0.08170702,-16.21719240517975,0.07217261,0.7303371067322737,0.089797966,-1.8420765551834333,-6.89991329782776,16.839651,1.6702757,0.7073631,0.96291256,,NOT_AVAILABLE,15.048603569541468,-0.7546740845359405,4108.3774,673.3633,0.0302,0.0224,0.0121,1394.4309,1450.9362
4097814175270911616,275.18337832881474,2.3611898,-16.217055615732047,1.9900959,,,,,20.820925,,,1.8502808,,NOT_AVAILABLE,15.049568400343393,-0.7561901620637571,,,,,,,
4097814179560358912,275.17672334513054,0.16611522,-16.212967014232902,0.14639573,1.0782311769522854,0.18064357,-1.1218147859846355,-4.8123576853546846,18.106163,1.3397427,0.5673008,0.77244186,,NOT_AVAILABLE,15.050164512840418,-0.748627312346001,3802.4277,600.347,0.0038,0.0027,0.0015,1095.8514,2105.9434
4097814179574024704,275.1766515628557,0.09950588,-16.21785364759651,0.09284531,0.8741608134391452,0.12649399,0.47123929002479653,-5.198525739238782,17.107449,1.6081295,0.6350231,0.9731064,,NOT_AVAILABLE,15.045821294109038,-0.7508686551204965,4118.146,703.413,0.0676,0.0503,0.0269,1149.6753,1195.2827
4097814243990365824,275.1617203223191,0.83510786,-16.204477681340638,0.90827656,0.9533855313660919,1.0832944,0.1778244797042957,-0.40547697251344994,19.75473,2.0487957,0.7191601,1.3296356,,NOT_AVAILABLE,15.050865053498248,-0.7319201205495631,,,,,,2656.3645,3698.8616
4097814243990370688,275.167014537019,0.018168502,-16.21108378456201,0.016452922,0.8061997206343806,0.021990096,-4.152097406789606,0.30342084299405914,13.416146,1.4831762,0.67762566,0.8055506,-15.031908,NOT_AVAILABLE,15.04743318170586,-0.7395168187328901,4832.2563,1031.0487,0.9023,0.6935,0.3675,1183.176,1180.5942
4097814248279884544,275.1651741402671,1.35271,-16.20806572770813,2.2406673,,,,,20.106974,,,,,NOT_AVAILABLE,15.049262768354184,-0.7365360542787569,,,,,,,
4097814278350118272,275.1762787405602,0.08167414,-16.20954928653752,0.06926464,0.9853670676410555,0.0851849,0.3748271045033321,-5.961507521459234,16.74064,1.5884857,1.0286808,0.5598049,,NOT_AVAILABLE,15.05297831019776,-0.746640601156791,,,,,,1016.21045,1013.3521
4097814278350125440,275.1818457762385,0.47591162,-16.210051358859328,0.47827885,0.1250845382770172,0.5235371,-1.41102328804477,-2.5589512475228844,19.243958,2.759552,1.480629,1.278923,,NOT_AVAILABLE,15.055053995026826,-0.7515924800898328,,,,,,3706.2078,3314.37
4097814278350125824,275.18220256093076,1.5097147,-16.204130732406803,1.6066324,,,,,20.546776,,,0.69475746,,NOT_AVAILABLE,15.060438354658341,-0.7491055463171683,,,,,,,
4097814278350128512,275.18536522666676,0.5372505,-16.21058597061289,0.54498506,0.8527862017891834,0.5752489,-0.19456022676418544,-0.6178752277375543,19.346241,1.9612198,0.39535904,1.5658607,,NOT_AVAILABLE,15.056174550643707,-0.7548253733745691,,,,,,2823.2961,3810.0544
4097814282642028288,275.1925449690795,2.005128,-16.205637703933228,2.1469493,,,,,20.237452,1.3538284,-0.11790657,1.471735,,NOT_AVAILABLE,15.063787750148883,-0.7585759851328892,,,,,,,
4097814282644917888,275.18750580091574,1.3871496,-16.203881407287682,1.3228472,,,,,20.445076,2.0186367,0.052352905,1.9662838,,NOT_AVAILABLE,15.0630575002441,-0.7534802041437751,,,,,,,
4097814282653237376,275.1933797947646,0.85528517,-16.21132749294124,0.8449228,0.868634922090828,0.90477645,10.869049132189001,-4.6248084090148,19.95502,2.1258678,1.1722221,0.9536457,,NOT_AVAILABLE,15.059145927469393,-0.7619632564147062,,,,,,3112.5996,3957.6506
4097814282653238272,275.1905378531204,0.036024246,-16.2110139359305,0.03534141,0.8387230868810372,0.041532777,3.2199706154875116,6.21532237147448,14.734494,1.0469999,0.44419765,0.6028023,-55.475243,NOT_AVAILABLE,15.05813697061851,-0.7594083320036658,5541.034,993.9254,0.4988,0.4102,0.2242,1150.3177,1151.9806
4097814282653240576,275.18044259706755,0.24864817,-16.21279923006409,0.22487038,0.1750776230214687,0.26789057,0.3578989490863167,-5.602560611849833,18.562168,,,,,NOT_AVAILABLE,15.051995135578192,-0.7516984719093892,,,,,,4985.54,
