source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,r_med_geo,r_med_photogeo
5313354722499708160,140.5013085886377,0.16748248,-51.163451052599925,0.1760244,-0.03912745692927534,0.20854506,-4.648953155727012,4.065537986184049,18.950216,1.59828,0.80220795,0.796072,,,NOT_AVAILABLE,273.15548478038716,-0.8211288112662732,5371.2686,4859.8
5313354726805606912,140.49967699903078,1.3971248,-51.16367153030001,1.306454,,,,,20.87684,2.182602,0.894186,1.2884159,,,NOT_AVAILABLE,273.154914287062,-0.8220063583968477,,
5313354726805609472,140.50224073476997,1.123958,-51.162018269891966,1.4403173,4.044631102059469,1.5635612,-4.490901206672203,4.904636589102655,20.756195,2.0715046,1.1241226,0.947382,,,NOT_AVAILABLE,273.1548895844876,-0.8197003891945309,5114.7446,5544.38
5313354726805614080,140.5034962474784,0.70824105,-51.165045755631226,0.75912106,3.2091345232924233,0.8633321,-3.0180018996865936,3.4329377388307196,20.6119,1.7067623,1.343153,0.3636093,,,NOT_AVAILABLE,273.15758214611134,-0.8212932355833383,1574.8433,5909.081
5313357677437221760,140.4917091673174,0.23860835,-51.16132402485568,0.25613955,0.40034327228145555,0.29604986,-2.462192816305756,1.4116077262358762,19.485748,1.6116276,0.78411674,0.82751083,,,NOT_AVAILABLE,273.149714664338,-0.8238631469673212,5035.6816,5173.688
5313357677437224832,140.49933444647795,0.14012784,-51.16118392574447,0.15212937,0.48286291924904934,0.17353831,-3.749452284431118,5.128437278492873,18.81633,1.5300045,0.70393753,0.826067,,,NOT_AVAILABLE,273.153008384921,-0.8203930986141544,3055.8203,3400.2395
5313357677437235712,140.48449816732617,0.14019544,-51.158767679660706,0.15062949,0.26577178045356165,0.17233548,-9.572583278833267,3.226191426371494,18.601513,1.6507072,0.8065605,0.8441467,,,NOT_AVAILABLE,273.1447044971895,-0.8252379359287813,4575.615,3893.172
5313357677437237632,140.48030668677666,0.18760622,-51.15899340515111,0.18628572,0.20884823610399084,0.22193159,-4.015933068140525,4.5318830124862375,19.045416,2.5352669,1.4423046,1.0929623,,,NOT_AVAILABLE,273.1429990893312,-0.8272512470899122,6420.788,6082.3516
5313357677437240832,140.49114239490459,0.19177057,-51.15808458861159,0.20623562,0.1455000180866557,0.23513536,-3.242432286716179,3.1189760479179336,19.187174,1.5449772,0.77384377,0.7711334,,,NOT_AVAILABLE,273.1471788048375,-0.8218159448982117,4682.077,4821.765
5313357677437246464,140.4790000775074,0.088500895,-51.156758032025806,0.087345146,0.2905405442173771,0.103974834,-5.151631604770123,3.989215127462996,17.960121,1.5061855,0.6920681,0.81411743,,,NOT_AVAILABLE,273.1408417342719,-0.8262436658023856,3856.235,3413.443
5313357677437256448,140.49585577894146,0.094623365,-51.155703123354016,0.09664896,0.05934064073773201,0.11235108,-3.3849713303530637,2.4621258806127746,17.908981,2.4991283,1.3402748,1.1588535,,,NOT_AVAILABLE,273.1475971133015,-0.818042952294984,5433.498,5804.057
5313357677437269760,140.49442772138525,0.07112289,-51.152870619860366,0.07707439,0.34233604584620975,0.08795777,-5.2596260294517165,4.674921531182267,17.587015,1.395195,0.6340599,0.7611351,,,NOT_AVAILABLE,273.1449649517651,-0.8166650861710315,3512.4048,3185.4995
5313357677437297664,140.49111409491354,0.124490306,-51.15173951191796,0.13722394,0.3849210946223641,0.15291889,-4.790338465318815,4.190909933173735,18.534002,1.3726406,0.6024895,0.77015114,,,NOT_AVAILABLE,273.1426931084557,-0.8173278542026191,3128.412,3579.3496
5313357677437297792,140.4845008533228,0.16743968,-51.156635336814915,0.15470004,0.2017668512041262,0.1824921,-3.528775607329029,3.951263381673038,18.848644,2.6786346,1.5187454,1.1598892,,,NOT_AVAILABLE,273.14320231121144,-0.8237243992194386,4104.032,4583.8965
5313357677438403200,140.49924949889416,0.25012326,-51.1553721114575,0.2571641,0.2114015219092028,0.29558226,-4.516426190032587,3.251966126678944,19.284767,1.8862228,0.9122639,0.97395897,,,NOT_AVAILABLE,273.14887387070274,-0.8163078442886843,4156.0654,3927.2227
