source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val,r_est,r_lo,r_hi,r_len
598696420765518976,132.86371373252547,6.9764638562319155,11.343588078538245,2.8890286539533534,,,,,21.25798,,,,,,NOT_AVAILABLE,216.20205444437664,31.738650178706617,,,,,,
598696863148730112,132.9073975934082,1.4399693376219993,11.368806903901529,1.025692256976827,-0.5298980018338169,2.153512552932907,-4.678775367635094,-4.007940904131576,20.825024,1.7885647,0.46235085,1.3262138,,,NOT_AVAILABLE,216.19646400820662,31.788124284977357,,,958.406001301258,508.762768769758,1710.91966883411,408.27616845928
598696210312529152,132.85964674572932,1.6020459257930235,11.318939834587246,1.1923994324619986,-2.244292355734589,2.0115014813735455,-16.649373146805786,4.018800498002146,20.879269,2.20582,0.8032913,1.4025288,,,NOT_AVAILABLE,216.22633341582315,31.724613630297974,,,1103.04964747717,624.452379031069,1871.71809267348,408.614695820412
598695591837239680,132.89330330883521,0.48970287998513196,11.333561282050715,0.3278644824325873,1.3450232475942967,0.5820225522473709,-0.2633411696372432,0.2314999602638371,19.709234,1.678894,0.6045685,1.0743256,,,NOT_AVAILABLE,216.22716541342868,31.760701832137283,,,750.390596752746,506.714702016982,1257.43629780358,408.443394505341
598696588273844480,132.85632387172302,1.6517386444792899,11.34751533684599,1.2448670239445332,0.41762354939613494,1.9963727024266866,8.466651643067838,-15.831529833510476,20.34301,2.4122715,0.58880424,1.8234673,,,NOT_AVAILABLE,216.19426822598163,31.73374417678633,,,894.090553973779,464.998488192367,1635.74291837126,408.533527320462
598696347751484544,132.88304548032147,2.9269467565185643,11.345531715433754,1.5203407649683387,,,,,20.798822,1.3556252,-0.07377815,1.4294033,,,NOT_AVAILABLE,216.20940603537804,31.75664881708942,,,,,,
598696553909914880,132.81841902356808,2.0960333398554756,11.346101912420838,1.177654729052891,,,,,20.929615,0.49780655,-0.15505409,0.65286064,,,NOT_AVAILABLE,216.17730668128496,31.699466236779873,,,,,,
598696622629392256,132.85213358563655,1.6927170733437873,11.354821509224276,1.1663879047826646,-1.4266398077168427,2.1040495515080497,5.592878169131822,0.9140065620769914,20.884314,1.4807701,0.16000175,1.3207684,,,NOT_AVAILABLE,216.1844411894468,31.733109092558653,,,1029.41895767898,564.741059697556,1790.06425511201,408.525025994032
598696072873578880,132.95522613749117,0.5328183062428705,11.358013169097434,0.3709085318347925,1.9552860640327003,0.6699999487543447,-18.128832423993103,-14.818321875055188,19.919075,2.2840786,1.0033665,1.2807121,,,NOT_AVAILABLE,216.2312953582194,31.826059363187145,,,548.612805314629,375.105260360171,942.934699333286,408.135217321752
598696760068346112,132.9110916208895,1.3124466731110092,11.357492102715977,0.8524108911139774,3.1526202131018866,1.4618450377851464,2.6526782238584232,-9.499531968475774,20.722628,1.727251,0.48870468,1.2385464,,,NOT_AVAILABLE,216.21032884960485,31.786624609493604,,,432.497473351239,236.742944125609,1085.70256239787,408.299630103711
598696897507300992,132.92088740853524,2.931631569431307,11.37615519789524,2.306080859252234,,,,,20.921604,1.3910217,0.0664711,1.3245506,,,NOT_AVAILABLE,216.19520291949868,31.803215608475178,,,,,,
