source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,r_med_geo,r_med_photogeo
429380357471662464,0.13895859880661734,0.65839684,60.90486615324001,0.5173542,-0.43584879880873684,0.7669235,-1.65859178086,-2.2146728016339017,20.139229,2.0978851,-0.10191536,2.1998005,,,NOT_AVAILABLE,116.78359720611546,-1.358032539024164,4062.2612,2296.2578
429380357472078848,0.1331656250702087,4.344553,60.89870760003418,2.7847235,,,,,20.9282,1.6989021,0.58976746,1.1091347,,,NOT_AVAILABLE,116.77962608641772,-1.3635191889515115,,
429380357472159104,0.1290738668704289,3.3801782,60.9093804621848,2.6464164,,,,,21.110512,2.9932861,2.2407913,0.7524948,,,NOT_AVAILABLE,116.77976849455098,-1.3526633757078255,,
429380357474796672,0.12252745788109462,0.091079466,60.90792704629243,0.08595377,0.5783017285289862,0.118404016,-8.439925037488479,-2.2758253279880885,18.167662,1.6532936,0.811285,0.8420086,,,NOT_AVAILABLE,116.77636134005654,-1.3534639718700492,1800.3558,1898.3479
429380357474798976,0.13309356011222165,0.26985896,60.906490161674405,0.29628032,0.9135169264239272,0.3790071,-3.495346864942282,-1.8869532232017947,,,,,,,NOT_AVAILABLE,116.78111841932058,-1.3558808847994914,2055.6887,
429380357474803328,0.13652777727246357,0.015648484,60.903298532851146,0.014524605,0.8282827724939983,0.02066253,7.190897669837234,-1.8888190101690117,9.611956,2.629716,1.4636326,1.1660833,-16.992287,0.13980879,NOT_AVAILABLE,116.78213036407188,-1.3593380059431863,1152.1195,1151.9213
429380357474811392,0.14265610262838926,0.03131964,60.89637127372756,0.030088464,0.28745855843993706,0.041165743,-3.285410043252772,-2.0860801029036327,16.342747,1.3158083,0.5709572,0.7448511,,,NOT_AVAILABLE,116.78369556185119,-1.366715096487077,3247.6821,3029.7654
429380357475916288,0.13731210891569864,0.10499364,60.90411217776584,0.074494295,1.0761378646356399,0.10930646,-3.7439188958605176,-1.3090564766762844,16.547907,,,,,,NOT_AVAILABLE,116.78266403713323,-1.3586149290140574,903.8662,
429380357475917440,0.13502795536661769,0.12627113,60.90213430229561,0.117534116,0.4924025203651399,0.16927192,-1.9637743778240677,-0.6190095818338237,18.26047,2.0176296,-0.15326309,2.1708927,,,NOT_AVAILABLE,116.78118662515719,-1.360336629481119,2475.4316,2064.7317
429380387526064768,0.09894090093119091,0.076822616,60.901463052373984,0.07313472,0.22460419235946333,0.09963104,-0.6813057311344878,-0.5896899216998737,17.917704,1.88764,0.9362469,0.9513931,,,NOT_AVAILABLE,116.76384217231038,-1.357548813762631,3897.7952,4037.95
429380387526067584,0.08027720911089861,0.046864167,60.905750600718974,0.04271241,0.2483261783293404,0.05997099,-1.982990151945279,-0.8118476541714421,16.990185,1.3227539,0.57364464,0.74910927,,,NOT_AVAILABLE,116.75578525440025,-1.351559212021482,3680.443,3263.2783
429380387526068224,0.08562921491477832,0.098505504,60.90761265950262,0.11050796,0.3992056554350543,0.13596003,-3.3934284900745357,-1.7989729175489062,18.306274,1.6116714,0.7758045,0.8358669,,,NOT_AVAILABLE,116.75870405131042,-1.3502459279868313,3507.6877,2331.9236
429380387526069120,0.09092914607878194,0.06549913,60.90943793559616,0.06271969,0.17271868033252727,0.0853341,-2.775189890361857,-0.010079828319544968,17.647213,1.4302654,0.64204407,0.78822136,,,NOT_AVAILABLE,116.76159051943272,-1.3489634546179572,4558.005,3688.6663
429380387526070144,0.07861578459302335,0.16975766,60.911281058388525,0.15893303,0.21776126437132198,0.2179151,-3.499397662323497,-2.0651076528077374,19.138695,1.8293209,0.9512367,0.8780842,,,NOT_AVAILABLE,116.75608246114963,-1.3459779747159937,4586.5806,3112.4255
429380387526073344,0.07518765715756542,0.09042225,60.91466245474164,0.088471994,0.302590330831714,0.1188782,-2.622133269924943,-0.826677629625029,17.978273,1.4984627,0.6280613,0.8704014,,,NOT_AVAILABLE,116.75511431975814,-1.342334567006997,3652.2002,3010.59
429380387526073472,0.07142705020366713,0.10734398,60.91464630651985,0.09859148,0.2597786212845517,0.13595511,-3.355559271041764,-1.6635870397173227,18.452637,1.6825352,0.81562805,0.8669071,,,NOT_AVAILABLE,116.75331840108764,-1.341990231005435,3700.6736,3190.1785
429380387526812672,0.10004978363299359,0.12648682,60.90257900195331,0.11856772,-0.004316780379171797,0.16296268,-1.9836107233671112,0.2890239783524637,18.689054,1.7069645,0.8064861,0.90047836,,,NOT_AVAILABLE,116.76459053309068,-1.3565606794761844,4903.7207,4249.513
429380391829166080,0.08148693105891507,0.2584272,60.91020786537707,0.25337,0.18907459839466118,0.33991942,-4.339886090535977,-1.1451995616561668,19.794445,1.8997688,0.9821625,0.91760635,,,NOT_AVAILABLE,116.75723998787203,-1.3473050267762368,4725.522,2764.1926
429380391829174912,0.08779699526327296,0.83523226,60.90841932028359,0.7663123,-3.771157948720651,1.0547,-1.7547718147433573,-10.148647378929132,20.157755,2.0099468,0.3338318,1.676115,,,NOT_AVAILABLE,116.7598965344308,-1.3496624918140336,5015.628,2703.249
429380391829197824,0.10418689599799272,0.27731034,60.900571522418545,0.44390735,0.8135386213516095,0.34740913,-3.204524734904503,-2.173901149552577,19.0081,,,,,,NOT_AVAILABLE,116.76616900196882,-1.3589245005507957,2609.9216,
429380391829198464,0.1070529817176931,0.25733078,60.90087232075007,0.2258372,0.12308841429381868,0.31808537,-1.2881856177647244,-1.4214382295913561,19.621572,1.7955608,0.9117813,0.8837795,,,NOT_AVAILABLE,116.76759518327562,-1.358903503940813,4175.0137,3599.9211
429380391830585472,0.07741397702787618,0.8677408,60.91560204430244,0.57089674,1.0327430034128249,1.05109,-1.016396363340342,-1.0261967619399595,20.645443,1.4792995,0.53990364,0.9393959,,,NOT_AVAILABLE,116.75636075904005,-1.3416265562255087,3565.0164,6648.635
429380391830588288,0.07958983365203563,0.81652886,60.907110365690535,0.7297044,-0.705524456217233,1.129911,-3.3513551098481824,-2.6482409749082,20.668972,2.0668468,0.93696976,1.1298771,,,NOT_AVAILABLE,116.75572531999774,-1.3501602557223722,3524.9226,2917.69
