source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val,r_est,r_lo,r_hi,r_len
573364458840919936,12.916936073986792,0.39516614152717455,84.8572090138818,0.2959467457040766,-0.17734416153285537,0.4045072390063255,-0.6040212158667615,2.2718044342676995,19.836126,1.2068939,0.5455551,0.6613388,,,NOT_AVAILABLE,122.93747416061994,21.985461492365026,,,2160.35519220741,1457.54884128036,3243.0428797201,579.318836115384
573364355761704192,12.839349158697502,0.1191459836114854,84.84318581722204,0.0932115627709375,0.9258122320563873,0.12822990146913668,2.0025744333442637,4.270975445904829,17.949137,1.7459068,0.86017036,0.88573647,,,NOT_AVAILABLE,122.92996889342312,21.971436122274483,,,1050.88462446791,920.992999874555,1221.3439468558,579.669963872591
573364424481181696,13.188404284892572,0.4430136359878492,84.85489715172345,0.3511160415076788,1.5488700142678642,0.4544872862982692,8.668127726535737,-1.1775595946830981,19.92234,2.6656685,1.421442,1.2442265,,,NOT_AVAILABLE,122.96373002162969,21.98322841466061,,,683.93693845938,489.640959779417,1094.91267544867,579.270340271018
573364424481181824,13.096364207524408,0.2671840613748722,84.8592270073923,0.19301180288648592,0.2105689849038419,0.28777084854244867,-0.48731707430681626,1.13066885695872,18.990667,1.2865582,0.5587826,0.7277756,,,NOT_AVAILABLE,122.95481041941282,21.987519120953426,,,2030.10972318719,1412.78865193262,3029.26353981504,579.205602139021
573364463137537408,12.855541482986533,0.09171071864954528,84.85634674096528,0.06915469453672868,0.7175321470213586,0.09718322593432953,6.607082114506563,-1.017159994013833,17.537714,2.0275612,1.0330429,0.9945183,,,NOT_AVAILABLE,122.93153921024611,21.98459675261325,,,1332.7758441278,1174.5529417572,1537.50695653869,579.361303743396
573364463137537536,12.97582585899154,0.08465723911201299,84.85111625916673,0.06684140991663884,0.48374448064895553,0.08974124541385627,0.1812307431133482,0.3416265354081337,17.299675,1.0653534,0.44857025,0.61678314,,,NOT_AVAILABLE,122.94317971516318,21.979376433595416,,,1881.02697364248,1604.09997783225,2260.50360281128,579.437026035939
573364325698584192,12.751385107914833,0.10159917011440592,84.83843534277686,0.07769802535066367,2.550539499942693,0.10828367585041099,54.526954655996654,5.975036249230519,17.519453,2.4372559,1.3081818,1.1290741,,,NOT_AVAILABLE,122.92143403745678,21.966694146069795,,,388.578806685999,372.756361209739,405.77700837768,579.811605813103
573364394418061056,13.14488190152187,0.054712191235063684,84.843954856551,0.04242212662780586,0.4313150498619712,0.05681800935769812,-7.218705359861996,-0.48335052063211786,16.606178,1.0293941,0.43906784,0.5903263,,,NOT_AVAILABLE,122.95957744781337,21.972266162316117,5128.375,0.622,2120.14684087486,1890.489934466,2408.75272845269,579.538319743378
573364497497275648,12.92914544915023,0.2989100078785475,84.86535004388294,0.22531047912287056,0.18366887418697989,0.3123910563669783,5.060736648527366,11.056364571568214,19.398409,1.5801411,0.7370815,0.84305954,,,NOT_AVAILABLE,122.93864416916976,21.993603682092306,,,2005.00328936877,1385.27425297969,3002.58551802285,579.127340407111
573364394418171520,13.025920520531955,0.04996351429506908,84.84865420685688,0.04119753580487017,1.9803862289580034,0.052984335627855046,10.510127943436519,-5.112604245888272,16.39436,1.7519531,0.8527546,0.89919853,,,NOT_AVAILABLE,122.94803516621167,21.976925038603685,4251.575,0.4463,498.059669547537,485.15351465512,511.657985750676,579.474952703619
