,index,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,r_med_geo,MST_cluster,cluster num.,prob,mass,ruwe,rv_template_fe_h,has_epoch_rv,teff_gspphot,distance_gspphot,radial_velocity,azero_gspphot,ag_gspphot,ebpminrp_gspphot,source_id.1,r_med_photogeo,logg_gspphot,logg_gspspec,mh_gspphot,mg_gspphot,mh_gspspec,alphafe_gspspec,fem_gspspec,Gmg,L
199,250,83.69790513193439,9.674709330245026,2.573405836419103,1.573705575493586,-2.17528729934477,16.82554,2.901475,1.6578789,1.2435961,385.07837,1,0,0.9800628436464691,1.0,1.0427153,,False,3481.137,319.7172,,1.3112,0.8343,0.5501,3337977496449944960,381.56015,4.4842,,0.1007,8.4326,,,,8.878081407963464,0.024030756167572966
200,251,83.71809666388005,9.680802564076869,2.383018957760071,1.7370467459313577,-2.3408547087286045,17.33778,3.108652,1.8243332,1.2843189,411.64758,1,0,0.9984735606021764,1.0,1.0909101,,False,3439.8013,476.606,,1.495,0.9307,0.6408,3337977530810102656,413.2375,4.2518,,0.1481,7.9737,,,,9.223417486633325,0.01748368629041954
201,252,83.70802077594564,9.68380420963734,2.4908681471863665,0.7386519166773218,-2.496567076996999,13.930928,1.8090963,0.8758707,0.93322563,395.21533,1,1,0.992502369509462,1.0,1.9394039,-1.5,False,,,3.2944052,,,,3337977599529157248,393.14352,,,,,,,,5.9126816949588274,0.3689158563532053
202,253,83.66544323802887,9.696104988931436,2.4346158247564427,1.5744249134718884,-2.0775786605010422,15.067843,2.0181408,1.0164728,1.001668,402.35776,1,0,0.9890636573826291,1.0,1.0687108,-1.5,False,4154.8906,362.139,7.2932224,1.2338,0.8779,0.4774,3337978321083667200,403.36792,4.2632,,-0.3429,6.308,,,,6.9999952028015,0.1355195400110263
203,254,83.6738462435478,9.711635495510391,2.609025993958606,1.75208867474869,-2.179376764730368,17.49077,3.4303932,2.086073,1.3443203,378.38354,1,0,0.9991339979481915,1.0,1.0230461,,False,3468.1658,439.2781,,2.0278,1.2295,0.8864,3337978630321308672,382.66962,4.2598,,0.3915,7.9652,,,,9.573162030182111,0.012668791477845298
204,255,83.78473000882015,9.71491904568183,2.4981467754602398,1.6749349492660517,-2.010651038333102,12.526786,1.2162781,0.5272484,0.6890297,397.1705,1,0,0.9941108193043053,2.0,1.0195011,-1.0,False,,,28.442354,,,,3337979003982003200,397.809,,4.99,,,-2.87,0.22,,4.514875756058942,1.3367484757973154
205,256,83.72968662087283,9.708731871874004,2.507178587872034,0.3598818900489861,-2.058855063090065,16.590834,2.8465328,1.6133919,1.233141,394.33136,1,1,0.9997601410674873,1.0,1.0022318,,False,3436.1152,395.9493,,1.266,0.8099,0.5279,3337979111357637248,391.2177,4.0242,,-0.4288,7.7181,,,,8.586760350614737,0.03142648870021006
206,257,83.82740272094254,9.734934514263594,2.2783334089954965,1.089300946702339,-2.2107256851439656,15.80468,2.5092754,1.3534946,1.1557808,428.36594,1,1,0.8473709833007956,1.0,1.0923828,,False,3567.5107,355.9977,,1.0279,0.6813,0.4173,3337979454955249024,431.28836,4.0019,,-0.5672,7.2917,,,,7.592766393034264,0.07850429951434647
207,258,83.70010590202035,9.723913321979362,2.568972736845176,1.3887483221984718,-2.106526233622168,16.848501,3.2200031,1.9020901,1.317913,382.20108,1,0,0.7707169788479186,1.0,1.0812005,,False,3365.1763,334.7732,,1.4796,0.9069,0.6455,3337979935991360384,381.4141,4.2613,,0.1845,8.2482,,,,8.897298476760835,0.02360916401647875
208,260,83.54755451002781,9.702186915113138,2.592404563137083,1.292380888339948,-2.6223449593838417,17.055166,3.324563,1.9530792,1.3714838,379.5394,1,0,0.94258401375993,1.0,1.2315295,,False,,,,,,,3337981310380920960,380.91025,,,,,,,,9.123679886123417,0.01916584826548891
209,261,83.63970737535554,9.732050924479925,2.7279182533942428,0.479973907918079,-1.7603882497425698,18.633698,3.429762,2.04311,1.386652,374.9741,1,1,0.9999068414289449,1.0,1.003457,,False,,,,,,,3337981546603198720,344.37012,,,,,,,,10.81285475911625,0.004044437200526717
210,262,83.68319973101899,9.809821820761988,2.4892360204402646,1.164498820060926,-2.145415908127616,16.888893,3.5012217,2.14353,1.3576918,397.02023,1,1,0.766783219088614,1.0,1.0100051,,False,,,,,,,3337983612483353472,395.05035,,,,,,,,8.869223384037774,0.02422761403456173
211,263,83.61706867741806,9.813201740327582,2.498669443837033,0.6122475109189565,-2.089993283862764,16.133627,2.4694242,1.3188553,1.150569,395.97586,1,1,0.9985112157622364,1.0,1.085537,,False,3566.9194,394.0341,,0.9918,0.6587,0.402,3337984570260274816,396.15845,4.0534,,-0.5921,7.4268,,,,8.12217102930569,0.04820938466586067
212,264,83.67164198297124,9.83781217332004,2.6308599055612745,0.4754536763246248,-1.8545076241381928,17.832489,3.3144817,1.9792709,1.3352108,374.60333,1,1,0.9998484232589252,1.0,1.0185858,,False,3441.9604,552.9469,,1.7338,1.0519,0.7679,3337984810778467712,375.0115,4.2276,,0.3926,7.9855,,,,9.932977611653156,0.009095130929125271
213,265,83.69508019646756,9.843795850246282,2.5844350184624543,0.612630177246458,-2.130456919595004,16.932064,3.2463923,1.9368553,1.3095369,382.35114,1,1,0.9994227275958573,1.0,1.0397217,,False,3418.1965,380.5865,,1.6491,1.0141,0.7138,3337984952513143808,380.50687,4.2038,,0.1906,7.9568,,,,8.993892084960091,0.021599473545857666
214,266,83.71021599380362,9.863188854170254,2.593555455764779,1.094667214034377,-1.9688753634439415,14.977155,2.0097132,1.0030622,1.0066509,378.84323,1,1,0.9360184939522127,1.0,1.0994014,,False,5817.775,365.8158,,3.0201,2.2998,1.2688,3337984986872874368,377.70273,4.4119,,-0.5158,4.8497,,,,7.046632692870587,0.12982158969172164
215,267,83.6633684291065,9.882017026461709,2.5142696635327044,0.847441762600444,-1.8601984611614413,14.27571,1.824729,0.8873253,0.9374037,391.39316,1,1,0.9877053887601964,1.0,0.99058527,-1.5,False,,,0.78522986,,,,3337985296110525312,391.33432,,,,,,,,6.2777692766614,0.2635677622521209
216,268,83.84400979521877,9.750500211395948,2.686915911805474,1.040683674926804,-1.9438870548682077,18.286612,3.6718369,2.2783566,1.3934803,375.0723,1,1,0.9893454579188531,1.0,0.95876867,,False,,,,,,,3337985360534544384,371.82452,,,,,,,,10.432882376061807,0.005739143046864594
217,269,83.81959229071458,9.777613814360414,2.432122855603288,1.6337382158947422,-2.085767445646268,7.5790267,-0.1619606,-0.07071638,-0.09124422,403.54544,1,0,0.9860554524868123,3.0,1.2203764,,False,15191.113,478.383,,0.1724,0.1717,0.0923,3337985639708146304,405.1844,4.0608,4.95,0.7015,-0.9997,-5.49,0.24,,-0.49104575504963144,134.4058903162653
218,270,83.83229393256498,9.796554160782192,2.5114298540635267,0.8862562644445118,-1.8455512623576376,11.571563,1.0264511,0.42813015,0.59832096,392.08813,1,1,0.9869927663675814,3.0,1.105102,0.25,False,5621.802,381.8191,22.124033,0.4158,0.3412,0.1832,3337985841569936384,392.31458,4.0348,,-0.3815,3.3038,,,,3.5711682626299908,3.1881055764947623
