distance,reddening,distance_uncertainty,reddening_uncertainty_min,reddening_uncertainty_max
1865,0.969,78,0.11,0.11
1870,0.97,81,0.11,0.11
1875,0.971,81,0.112,0.112
1880,0.972,79,0.108,0.108
1885,0.974,78,0.104,0.104
1890,0.975,77,0.103,0.103
1895,0.976,77,0.103,0.103
1900,0.978,78,0.104,0.104
1905,0.979,79,0.106,0.106
1910,0.98,79,0.106,0.106
1915,0.982,80,0.112,0.112
1920,0.983,83,0.1,0.1
1925,0.984,84,0.088,0.088
1930,0.986,83,0.092,0.092
1935,0.987,81,0.097,0.097
1940,0.989,79,0.102,0.102
1945,0.99,79,0.101,0.101
1950,0.992,79,0.101,0.101
1955,0.993,79,0.101,0.101
1960,0.995,79,0.104,0.104
1965,0.997,80,0.114,0.114
1970,0.998,81,0.13,0.13
1975,1,83,0.139,0.139
1980,1.001,81,0.134,0.134
1985,1.003,79,0.129,0.129
1990,1.005,80,0.131,0.131
1995,1.007,81,0.132,0.132
