source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val
5.98852E+17,132.3367242,0.259395501,11.10585578,0.192030341,1.859427471,0.371195006,1.566109851,5.020225504,18.970362,2.320076,1.1919785,1.1280975,,,NOT_AVAILABLE,216.1978518,31.16970543,,
5.98655E+17,132.4787447,0.093444683,10.88364929,0.062447437,0.606388954,0.132789711,-4.776534107,-3.091409921,17.313017,1.2235489,0.54057884,0.68297005,,,NOT_AVAILABLE,216.5022416,31.20135566,,
5.98655E+17,132.5142988,0.129245204,10.93632304,0.090750256,4.314877152,0.192250444,-62.32754731,-13.59223302,17.813395,2.6053257,1.4275284,1.1777973,,,NOT_AVAILABLE,216.4639177,31.25538707,,
5.98846E+17,132.2024459,1.827792443,11.05178004,1.658427471,,,,,20.755795,0.7937603,9.40E-04,0.79282,,,NOT_AVAILABLE,216.1897005,31.02743692,,
5.98621E+17,133.2777352,0.481030869,10.94561239,0.308172652,-0.127366402,0.617796686,-1.437507039,-2.441068349,19.856146,0.80729294,0.2215023,0.58579063,,,NOT_AVAILABLE,216.8292488,31.93736846,,
5.9867E+17,132.820248,0.025159905,11.03824205,0.017155653,0.79988819,0.030147614,-14.54863074,-0.199855843,14.253848,0.9299259,0.37521648,0.55470943,,,NOT_AVAILABLE,216.5056695,31.57054179,5317.5,
5.98664E+17,132.8618007,0.038566103,10.9137989,0.028514705,1.344915397,0.051157071,-17.59603797,-18.1277693,15.538725,1.2311726,0.54128456,0.689888,,,NOT_AVAILABLE,216.6581976,31.55443803,4880.3335,
5.98868E+17,132.2962758,2.361024449,11.29613434,1.820207281,,,,,20.75361,,,,,,NOT_AVAILABLE,215.9767061,31.21434503,,
5.9885E+17,132.4662729,0.207081767,11.10792253,0.140124095,1.441932802,0.316827086,-8.458422487,6.179847766,18.559109,2.5660343,1.3995438,1.1664906,,,NOT_AVAILABLE,216.2587549,31.2856886,,
5.98674E+17,133.1015355,0.41938588,11.11543419,0.280814709,0.460567976,0.522444548,-0.851193367,-9.477369014,19.62047,1.40102,0.49890327,0.9021168,,,NOT_AVAILABLE,216.561522,31.85321321,,
5.98674E+17,133.1856999,0.637967949,11.09801391,0.403817542,-0.059506437,0.821668653,-0.450307017,-14.8416996,20.236727,2.0605106,0.82180786,1.2387028,,,NOT_AVAILABLE,216.6214439,31.92055962,,
5.98691E+17,133.0254077,0.906172973,11.22877366,0.613882463,3.774746821,1.112117663,-2.521158951,-3.763215752,20.489107,1.3903732,0.22110748,1.1692657,,,NOT_AVAILABLE,216.4033992,31.83370059,,
5.98658E+17,132.4543366,0.024913964,10.91841628,0.01708522,0.786411524,0.03320774,1.086040564,-2.596077647,14.293133,0.73031235,0.28339195,0.4469204,,,NOT_AVAILABLE,216.4535305,31.19449357,6138.207,0.247
5.98692E+17,132.9259029,1.373621622,11.2727591,0.985738851,1.717389233,1.701019723,2.11889232,-2.197067136,20.818865,1.2631664,0.03371811,1.2294483,,,NOT_AVAILABLE,216.3078691,31.76393682,,
5.98658E+17,132.6250478,0.059650216,11.01569798,0.038354538,0.70595556,0.074082728,-7.675972077,2.524715745,16.458868,0.98572826,0.41376877,0.5719595,,,NOT_AVAILABLE,216.4340203,31.38755655,5335.5,0.1503
5.98681E+17,132.6431671,0.283258023,11.04335724,0.187695389,0.370307238,0.36053196,-9.366133861,-5.860648408,19.125917,2.3145695,1.1669998,1.1475697,,,NOT_AVAILABLE,216.4135533,31.415416,,
5.98681E+17,132.6307984,0.449708471,11.03451113,0.280664793,0.597720614,0.595154292,-10.22124202,-6.744649435,19.813725,1.810051,0.73057747,1.0794735,,,NOT_AVAILABLE,216.4168861,31.40066682,,
5.9885E+17,132.4189134,0.543252531,11.10807913,0.369448277,-1.356436173,0.831986254,-2.138644666,-3.840009083,19.960918,0.87143326,0.24928856,0.6221447,,,NOT_AVAILABLE,216.235514,31.24367622,,
5.98619E+17,133.2179937,3.047847762,10.88430725,2.674297072,,,,,20.995918,0.6484928,-0.31594086,0.96443367,,,NOT_AVAILABLE,216.8650448,31.85814842,,
5.98658E+17,132.6208014,0.051487862,11.01980659,0.034934101,1.346820392,0.067424414,-5.123653732,-9.155594463,16.219442,1.4035196,0.64068794,0.7628317,,,NOT_AVAILABLE,216.4275876,31.38553213,4584.67,0.1167
5.98682E+17,132.8218647,9.079580647,11.09030794,6.039935139,,,,,21.14433,,,,,,NOT_AVAILABLE,216.4511428,31.5941154,,
5.98655E+17,132.5428445,0.872190371,10.95184982,0.54079698,2.13357895,1.305832012,3.214236927,0.160662511,20.537567,0.666729,0.15888977,0.5078392,,,NOT_AVAILABLE,216.4614485,31.28735757,,
5.9885E+17,132.420811,3.751945514,11.12004836,2.56283581,,,,,21.05412,,,,,,NOT_AVAILABLE,216.2237611,31.25044146,,
5.9887E+17,132.0806239,0.585053735,11.27609534,0.493559738,-0.306744857,0.603553996,0.090747598,-0.734755875,19.749355,0.7707157,0.27759743,0.4931183,,,NOT_AVAILABLE,215.893516,31.01421149,,
5.98644E+17,132.6710333,0.149612898,10.88111186,0.09760789,1.907848326,0.19086907,4.672563191,-2.89073672,17.954054,2.1664257,1.1023445,1.0640812,,,NOT_AVAILABLE,216.5991716,31.37106669,,
5.98696E+17,132.9425677,0.777448387,11.31831187,0.54416425,1.111885913,0.949824032,-3.976133793,7.284241397,20.280863,2.0706825,0.83766747,1.2330151,,,NOT_AVAILABLE,216.2674552,31.79802319,,
5.98866E+17,132.1616272,0.50371004,11.21083969,0.382761284,0.685619298,0.616328255,-14.38019522,-1.224233884,19.916695,2.4396362,1.2585678,1.1810684,,,NOT_AVAILABLE,216.0017452,31.05860287,,
5.98686E+17,132.5546232,4.286077069,11.12351392,2.321470119,,,,,20.954039,0.94706917,0.08396149,0.8631077,,,NOT_AVAILABLE,216.2853028,31.37080313,,
5.98688E+17,132.6436223,1.598808266,11.17601801,0.807003197,-2.286489252,2.259013426,2.855619879,-4.829831348,20.763887,1.375742,0.2291336,1.1466084,,,NOT_AVAILABLE,216.272994,31.47214909,,
5.98656E+17,132.6395166,0.024632361,10.96075242,0.019073574,0.950933876,0.033920626,6.539228232,-6.614495935,13.175623,0.75326824,0.29331493,0.4599533,,,NOT_AVAILABLE,216.4993412,31.37702115,6708.6665,
5.98658E+17,132.4438411,0.061705571,10.91497685,0.042206275,0.664007594,0.083954035,-4.25579019,-9.424581587,16.575027,0.9010792,0.36393738,0.5371418,,,NOT_AVAILABLE,216.4520348,31.18370478,5535.54,0.091
5.98644E+17,132.6517005,3.061759297,10.89742773,1.178016968,,,,,20.47699,2.3414383,1.0600128,1.2814255,,,NOT_AVAILABLE,216.5724049,31.36085519,,
5.98663E+17,132.9426247,0.772365607,10.87556961,0.443746597,-0.535713822,0.86216543,-9.118596412,-13.17329806,20.502205,2.1174736,0.81090546,1.3065681,,,NOT_AVAILABLE,216.7385412,31.60990043,,
5.98657E+17,132.6146781,10.21597321,10.95223054,2.006070249,,,,,20.878967,0.9319134,0.33812523,0.59378815,,,NOT_AVAILABLE,216.4962069,31.35132828,,
5.98643E+17,132.7255663,24.75538684,10.84668438,6.207531764,,,,,21.120735,,,,,,NOT_AVAILABLE,216.6624195,31.40480536,,
5.98665E+17,133.0178208,3.626341657,10.98246503,4.424875181,,,,,21.055412,,,,,,NOT_AVAILABLE,216.6619468,31.7222745,,
5.98685E+17,132.6242852,0.17974209,11.09181197,0.10617882,0.691025781,0.231156339,1.98014141,-3.361115202,18.441196,1.310791,0.5828762,0.7279148,,,NOT_AVAILABLE,216.3529288,31.41923345,,
5.98853E+17,132.2457613,0.640120719,11.10686101,0.44674015,0.088152637,0.7634623,1.495147402,-2.939704939,20.188349,0.54790497,0.14446068,0.4034443,,,NOT_AVAILABLE,216.1525447,31.08930579,,
