source_id,l,b,distance
4057236668613282560,0.1169382066511693,-0.9334441388518008,1585
4057238558378606848,0.1139779725059246,-0.8562445922282883,1465
4057241616392654208,0.2005456956855801,-0.830720855476105,1880
4057237523277124736,0.0133396827003881,-0.8905328621599194,1415
4057237252728641152,0.180313863407981,-0.9506580120541236,1555
4057237179680542848,0.2003502942858138,-0.970302608334528,1625
4057234946296936192,0.0818934118307708,-0.9486609766959084,1330
4057238386600259968,0.0803458308660064,-0.8549579064093601,1240
4057238730197643264,0.0455675513485172,-0.8404510515710333,1675
4057239451731952128,0.1096437530499123,-0.8156397936904276,1280
4057233988553630592,0.0402550473897597,-0.9688440157631,1915
4057237385839063552,0.203851049648799,-0.9487096014507328,1360
4057241169739125632,0.1649272603389447,-0.8073920511986851,1640
4057239245593750784,0.0935086979219584,-0.8230223021810593,1880
4057234057273109760,0.0642145313881705,-0.9764488263940329,1870
4057234705778677760,0.0393411995460441,-0.9051551456400704,1865
4057238760237047680,0.07042975470888,-0.8408287079051349,1485
4057238901996364544,0.0501352126867659,-0.807571135560559,1120
4057238833276887168,0.0702334604936548,-0.8176283215704833,1610
4057238760228246400,0.0709603783148178,-0.8379312014259183,1560
4057238661477857536,0.0325274873022037,-0.817349642450299,1585
4057235603461341056,0.1122662160602146,-0.9897277896289594,1040
4057233095200212736,359.97864908878,-0.9908598408299658,1570
4057234950605698688,0.0778980947255912,-0.940303216511122,985
4057238725868417792,0.051541280175737,-0.8304794751605817,1940
4057240168977948672,0.1666018323120333,-0.868417674102274,900
4057235569101600896,0.0914091961183027,-0.9843168955170708,1420
4057239894109832576,0.1592214764052407,-0.8958942265995907,1205
4057240894861195648,0.1591084898867879,-0.8464990401080713,815
4057240448184343168,0.2101447919916421,-0.9037093571892176,1970
4057234057273104128,0.0685185232880075,-0.9835688021528106,1940
4057237557638991872,0.0069603445939171,-0.8665312073143132,1180
4057236767363455232,0.1341280109659612,-0.9296024023752736,1990
4057233473157552256,359.99810772657736,-0.9532436324101652,1345
4057239383032707200,0.1231570130129954,-0.8311701716482207,1300
4057239039435325056,0.0713060920387089,-0.8077406501167483,1450
4057240138946699008,0.170620757436353,-0.8908188337002965,1250
4057240894861196416,0.1502333988429794,-0.8421683032581876,1735
4057240929220934656,0.1727517313077511,-0.8519885483841065,1940
4057234229071803392,0.0056888804181988,-0.949003179716135,2000
4057239417392447232,0.0826023012259478,-0.8124506783663084,1865
4057238210472439552,0.1031666943818537,-0.8989955363204661,1430
4057238863307347328,0.0296724106934589,-0.8026724214911471,1855
4057238141752841216,0.0803709127750228,-0.884128805228132,1200
4057243295734778496,0.2314667996305631,-0.9621547924943904,920
4057239928469576576,0.1654630491055839,-0.8983393671681634,1640
4057240173306676608,0.1584403761538341,-0.8631346563140954,1280
4057240821812984704,0.1550962125588876,-0.8477680517460232,1625
4057241302849609856,0.1913197036910902,-0.8140411218085697,1635
4057240375136385664,0.1980872943949041,-0.9207021199557874,1925
4057243295708220672,0.239440858610295,-0.9611601801644122,1325
4057240821812984832,0.1536484718745125,-0.8473633678198516,1680
4057233404437862656,359.9920267109846,-0.9698982375247982,1905
4057239383032705024,0.1253451115209603,-0.8356986004464543,1770
