source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,bp_g,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val
605024621285206144,133.03267196636313,0.33153028849155786,12.488719306430934,0.18580312633707302,2.6989196107590487,0.4172721449535093,19.169765,2.5277557,1.2648792,,,NOT_AVAILABLE,215.0559183567015,32.36716610424193,,
605010224554835840,132.97737135456447,0.6211257255995933,12.357386372985543,0.396962561251677,1.0355685517056459,0.9086406118243281,20.20034,1.6209927,0.62122726,,,NOT_AVAILABLE,215.1710363558963,32.26372547559456,,
604965561189933312,132.49221464218192,0.10040653832119877,11.895641488195224,0.06479862559185806,1.2097223400032795,0.11966151309788833,17.536242,1.9521809,0.95996284,,,NOT_AVAILABLE,215.43363832122935,31.640386775875786,,
604965423751169024,132.48181195023795,0.18730593165476422,11.880976664485955,0.07480408747415093,0.8960287979785115,0.0893860826393963,15.304814,1.1046925,-0.2892933,,,NOT_AVAILABLE,215.44429538310973,31.6250131543939,5095.6333,
604954497354194688,133.3951969241411,0.04559469836920163,12.196440942376757,0.029588420916482523,1.2030075918200214,0.05018746444488843,12.749607,0.7040005,0.2736683,35.527030625902015,2.6005123476238077,NOT_AVAILABLE,215.54504991406154,32.56852196638534,6299.5,1.1937
604895948360165888,132.83468301998656,0.05562278763287918,11.602570585988223,0.037374046146975655,1.3161890649477888,0.07033653168987339,16.265556,1.5783796,0.73698425,,,NOT_AVAILABLE,215.91168429195974,31.822037523726202,4534.36,
604894745769327232,132.83949493739286,0.03367499560922421,11.552022779661264,0.023237842817065004,1.1574009246245223,0.04161795703413984,15.349098,1.265666,0.5617361,,,NOT_AVAILABLE,215.9679831133711,31.805050852814983,4877.1997,0.7487
605021945520447744,132.86137421729455,0.1507280285801357,12.359848901601532,0.10242159863732377,-0.04425533981023734,0.2210568833995557,18.05798,0.83673096,0.31485558,,,NOT_AVAILABLE,215.11298540498672,32.16158489685035,,
605032974996050944,133.66750172319806,0.051322420755075975,12.143823312213474,0.028859373890489953,0.3894974120493228,0.06683229180892929,16.09179,0.8813591,0.35679436,,,NOT_AVAILABLE,215.73341063423877,32.78871834689594,5744.0,0.5753
605008472207196800,132.98569923322475,0.6787265646613556,12.26118797692834,0.41070621920384953,-0.235795280089093,1.0222654274495524,20.317917,1.9703083,0.737484,,,NOT_AVAILABLE,215.2785498545999,32.23128888763615,,
604907592015745792,132.68792937428225,0.04071714329830979,11.600663528042745,0.02930314091879834,1.15755864142378,0.04856785782679261,15.369655,1.2796602,0.5703478,,,NOT_AVAILABLE,215.84264813622516,31.690799374989286,4821.925,0.703
604896257597814784,132.79588950458347,0.3307375696518883,11.627890741680346,0.23818029763456322,1.2333822416402656,0.41089441373235375,19.343884,2.3734264,1.1471424,,,NOT_AVAILABLE,215.86585445920343,31.79819980425545,,
604986795508222336,132.5344990057361,0.32572217791188224,12.061342426160715,0.23930743830071188,0.15313368516051423,0.38294901969279044,19.19272,0.809103,0.29543686,,,NOT_AVAILABLE,215.27688304776993,31.74705463718679,,
605013321226164352,132.72645229532694,0.04410153503434903,12.241095581819938,0.02806880872848531,1.3776408938297509,0.05787251516538678,14.536417,0.83675575,0.33247757,,,NOT_AVAILABLE,215.17612427607594,31.99241677315706,5721.25,0.0128
604908794606913792,132.65204301955274,1.019702588706665,11.655580119138772,0.7256450620102783,0.006122352750548324,1.0857049695270176,20.565363,1.2583218,0.50872993,,,NOT_AVAILABLE,215.76672975198073,31.681969550593323,,
604962468813460352,132.6625271480511,0.2801614191148415,11.83879848035761,0.21124525127124164,0.7874918672669493,0.35249313784006375,19.14787,2.8978214,1.6154194,,,NOT_AVAILABLE,215.57620197971954,31.76805723619932,,
605037613560729728,133.64052131826378,0.03360554934388843,12.228256509170008,0.018165336263656153,0.06398349175972391,0.04391559364492455,14.819398,1.4533195,0.6705513,,,NOT_AVAILABLE,215.62901877066324,32.79984106109786,4486.5,0.701
604985279383965824,132.4193432446129,0.13750847731273266,12.1262067051988,0.08876590776181895,0.5442362800028177,0.1700637968894602,18.050488,1.4993267,0.7053375,,,NOT_AVAILABLE,215.1525086868069,31.671617834835487,,
604997958127162240,132.9682017567697,0.05585744246176409,12.153010636307124,0.03844538096199201,0.8156759419815734,0.06749060344871503,16.292631,1.0554628,0.4464264,,,NOT_AVAILABLE,215.38646783951137,32.170825985539324,5515.08,0.0082
604891000557845632,132.87664668376914,0.20015437638168782,11.487733687964036,0.14336853574622385,1.0332663669755218,0.23139049480770288,18.590296,2.4573307,1.2577705,,,NOT_AVAILABLE,216.0546382125292,31.810989948681144,,
604900273393279488,133.07149249875647,5.260661939340838,11.675547117840795,4.899700061510055,,,21.010109,,,,,NOT_AVAILABLE,215.94850090598675,32.06317186021259,,
604896081503391744,132.79433808458236,0.34966229406309907,11.598529938928404,0.2704775389143572,0.1267792648294004,0.4313444652545664,19.510956,0.99466515,0.36115456,,,NOT_AVAILABLE,215.8964470106415,31.784480498290417,,
605010018396404736,132.94153458362032,0.34718866749556937,12.348135296379597,0.22837214002642559,1.4901535456982162,0.5128593323976085,19.349003,2.4622364,1.2377529,,,NOT_AVAILABLE,215.16386842203286,32.22802774786258,,
604943674036806272,133.0116268800332,1.08308310859648,11.93603962921356,0.6190554833541745,0.6797589203674652,1.1948086167536236,20.534166,1.1306534,0.1493702,,,NOT_AVAILABLE,215.64032236985085,32.119048340742744,,
604921958681906176,132.7320022658318,0.08118804676132246,11.87073452574222,0.05525856174671481,1.0430216761209394,0.09938846316017455,11.835183,0.7727375,0.31037045,34.28102151241435,1.061188404482058,NOT_AVAILABLE,215.57551314157553,31.843174871537208,5949.0,
604964255519855232,132.61684623037246,0.02134378365750358,11.91403865433539,0.015172477569581098,1.1337318625658337,0.02449081033288249,14.034624,0.82116413,0.33176422,,,NOT_AVAILABLE,215.4738343371538,31.758881065161678,5823.6665,0.2853
604995625960900864,132.8601250551359,0.4689646541728233,12.061532191637383,0.3007730991242855,-0.446672615911371,0.6291503537772356,19.72049,0.86042213,0.24928284,,,NOT_AVAILABLE,215.43278382132092,32.036677763650765,,
604983080360695552,132.33352163122237,0.3630516755361688,12.037672763219106,0.20823548389825583,0.16265975649987588,0.43690593069866857,19.634092,1.7884598,0.82966423,,,NOT_AVAILABLE,215.20608091030883,31.558482508790863,,
604972055180387200,132.84640189142524,0.10448662755008055,12.031564675367823,0.07169738685796553,0.6686168079912689,0.13559349376010826,17.611847,1.2740707,0.56069946,,,NOT_AVAILABLE,215.45832656404426,32.01199570952026,,
605037613560730368,133.63390476279852,0.09695529747426343,12.223421666654634,0.05132993281191437,0.8022361428485125,0.12238798073379571,17.194336,1.4873066,0.681654,,,NOT_AVAILABLE,215.63105496753082,32.791950461759974,,
604914159021501184,132.73253591562656,0.14750862678117788,11.764867412396374,0.10066542700610336,1.1977890267773097,0.18622763844797602,17.914791,1.9786549,0.9647846,,,NOT_AVAILABLE,215.6889329981962,31.79935184450934,,
604992121266670208,132.43044399504112,4.066033111655316,12.175046198514385,2.941095379833699,,,18.42725,1.5326843,-0.51115036,,,NOT_AVAILABLE,215.10559104292062,31.701770041962217,,
604980778258324992,132.46336709727797,2.042652866383716,12.017346694163365,1.6405518610579577,,,20.732397,0.5462494,-0.11250496,,,NOT_AVAILABLE,215.28986364469472,31.66548697299407,,
605002944585125248,132.9324612157672,0.43830886605969666,12.285291423111035,0.2827213325757759,2.1694157529324922,0.6560698931273136,19.55293,2.5197906,1.2774277,,,NOT_AVAILABLE,215.22713908280818,32.19393700725242,,
604992533584530560,132.45544151685263,0.04889828853113265,12.184761515529388,0.038746348800049714,1.2324802956805547,0.05770896018645063,15.78255,1.1240435,0.48536968,,,NOT_AVAILABLE,215.1071202575522,31.728033245896317,4977.0,0.0303
605001260957998976,132.74591811040156,0.12406380046558049,12.200602367964764,0.07762073057613682,0.5928231597173329,0.15593739750315408,17.737803,1.516798,0.7175331,,,NOT_AVAILABLE,215.22887265478678,31.992930593726907,,
604976487586640896,132.77359304886647,0.2674385153411283,12.117880687643837,0.18061885662410226,1.1672203362661195,0.33441097423518734,19.073044,1.8932304,0.85308075,,,NOT_AVAILABLE,215.33084101238367,31.983179345320107,,
604910654328188416,132.7658260028498,0.5076037286670793,11.703137974272538,0.3765951243750789,1.0465482771173733,0.6692072481906621,19.951035,1.9413147,0.69161224,,,NOT_AVAILABLE,215.77095301507956,31.803068145976674,,
605000058367155840,132.77930888028223,0.12379861265803187,12.149646473759054,0.07973775314752454,0.7740557623724956,0.1540555148949838,17.73949,1.3665314,0.60484695,,,NOT_AVAILABLE,215.29951329709593,32.00146450387489,,
604898727203249408,133.07294875263224,0.12020217409077223,11.607040283508184,0.0722038851488031,0.8512017116962226,0.1353421184565203,17.707338,1.3574581,0.6073208,,,NOT_AVAILABLE,216.0225482471095,32.03567326176828,,
604963190367965696,132.63958687375035,0.6848914246963453,11.878271769474821,0.538972501005323,0.4744866761121043,0.8250308391351603,20.047262,2.4642582,1.1024456,,,NOT_AVAILABLE,215.5229867983568,31.764161761759894,,
605026274847479552,132.81512587274716,0.14067727398505844,12.450049548958084,0.09462354674393306,0.8182054900076199,0.20201775369788616,17.970121,1.5327663,0.68924904,,,NOT_AVAILABLE,214.9939116630813,32.15772399956834,,
604921889962429824,132.73404517158377,0.02675133870192223,11.86544493603743,0.01851515350535582,0.7397874765558397,0.034049799560018634,14.492999,0.9078531,0.37765408,,,NOT_AVAILABLE,215.58215354388548,31.842780171685366,5401.6665,0.947
604972948533588224,132.80800411280438,0.07852759570576287,12.064264146890094,0.05024818323064373,0.3956121506731394,0.09673563365167873,17.049927,0.9721737,0.4007492,,,NOT_AVAILABLE,215.40482962216876,31.99147175111696,5320.25,0.195
604988131243359360,132.53823576269275,1.8260180623630684,12.106245341564616,1.2561043121236621,,,20.870071,1.126461,0.1998558,,,NOT_AVAILABLE,215.23064482863595,31.76905296423836,,
605000333244783488,132.84743014531793,17.729254570729726,12.17021271129293,7.57089432009301,,,21.25012,,,,,NOT_AVAILABLE,215.31007773448843,32.070583065788945,,
604953290471206912,133.21070914204913,0.39647103636405434,12.141822934325523,0.24465849466299225,-0.26864607734298035,0.5360010391558175,19.843939,1.3841057,0.6103649,,,NOT_AVAILABLE,215.51507296256324,32.38179513420915,,
604940508647344640,133.41902492505935,15.688323766707446,12.063075031582528,2.6117823046320856,,,21.059393,,,,,NOT_AVAILABLE,215.70042214293528,32.53420844161492,,
605040564202670592,133.72977976162838,0.794446788605157,12.252536941725163,0.4396411991523388,-0.9965132859252701,1.0228450228638366,20.179642,1.652832,0.68642807,,,NOT_AVAILABLE,215.6458499372252,32.88927557888677,,
604920790450034944,132.7854212328316,0.08535113289760064,11.825618229000927,0.050982129664585235,1.1136132005423844,0.10388282091756632,16.805582,1.4792976,0.595623,,,NOT_AVAILABLE,215.64950344103653,31.871798623230802,4443.8203,0.481
